price|quantity|type|level
89476000|0.016|0|5
89475000|0.0007|0|5
89472000|0.016|0|5
89471000|0.016|0|5
89462000|0.016|0|5
89460000|0.016|0|5
89502000|0.0169|1|5
89510000|0.0356|1|5
89514000|0.317|1|5
89531000|0.0601|1|5
89541000|0.0584|1|5
89553000|0.0563|1|5
89565000|2.7563|1|5
89571000|0.317|1|5
89576000|0.0646|1|5
89590000|0.476|1|5
89488000|0.0001|0|5
89475000|0.0007|0|5
89446000|0.0024|0|5
89440000|0.0055|0|5
89439000|0.0011|0|5
89429000|0.0438|0|5
89424000|0.1137|0|5
89423000|0.1306|0|5
89422000|0.1357|0|5
89421000|0.1013|0|5
89501000|0.1238|1|5
89502000|0.3338|1|5
89510000|0.0356|1|5
89520000|0.0556|1|5
89531000|1.2771|1|5
89538000|0.1115|1|5
89541000|1.8584|1|5
89547000|0.0063|1|5
89553000|0.0563|1|5
89565000|0.0002|1|5
89501000|0.0151|0|5
