price|quantity|type|level
4770000|5.1024|0|5
4769000|4.0176|0|5
4768000|23.0563|0|5
4767000|1.4204|0|5
4766000|0.0211|0|5
4765000|0.3338|0|5
4764000|1.4506|0|5
4763000|33.982|0|5
4774000|0.0|1|5
4776000|3.4151|1|5
4778000|0.437|1|5
4779000|18.0|1|5
4780000|4.0|1|5
4781000|4.4503|1|5
4782000|1.4211|1|5
4783000|8.7889|1|5
4784000|1.039|1|5
4785000|55.747|1|5
4773000|6.2717|0|5
4772000|7.855|0|5
4771000|19.0|0|5
4770000|4.3371|0|5
4769000|4.4387|0|5
4768000|5.0563|0|5
4767000|4.0104|0|5
4766000|0.0211|0|5
4765000|0.3338|0|5
4764000|1.4506|0|5
4774000|0.0|1|5
4776000|3.4151|1|5
4778000|0.3348|1|5
4781000|18.0|1|5
4782000|1.0911|1|5
4783000|4.002|1|5
4784000|7.629|1|5
4785000|2.6513|1|5
4787000|74.2542|1|5
4789000|5.7042|1|5
4776000|2.3776|0|5
4774000|20.7831|0|5
4773000|6.0751|0|5
4772000|4.3334|0|5
4771000|4.4378|0|5
4770000|1.0035|0|5
4769000|0.4387|0|5
4768000|4.0563|0|5
4767000|4.0104|0|5
4766000|0.0211|0|5
4778000|3.2879|1|5
4782000|0.6911|1|5
4783000|18.002|1|5
4784000|3.039|1|5
4785000|4.4548|1|5
4786000|4.0|1|5
4787000|71.0801|1|5
4788000|4.0114|1|5
4789000|5.7042|1|5
4790000|0.0343|1|5
4778000|0.8107|0|5
4777000|1.7711|0|5
4776000|0.8261|0|5
4775000|1.0|0|5
4774000|21.0893|0|5
4773000|14.0385|0|5
4772000|4.4399|0|5
4771000|1.4378|0|5
4770000|0.0035|0|5
4769000|5.8087|0|5
4782000|4.5836|1|5
4783000|0.002|1|5
4784000|15.1412|1|5
4785000|3.0034|1|5
4786000|4.0|1|5
4787000|14.002|1|5
4788000|1.4214|1|5
4789000|60.9964|1|5
4790000|4.0882|1|5
4791000|5.9862|1|5
4777000|1.1956|0|5
4776000|2.9155|0|5
4775000|2.7842|0|5
4774000|18.9999|0|5
4773000|10.1154|0|5
4772000|4.773|0|5
4771000|1.4378|0|5
4770000|3.5935|0|5
4769000|5.8087|0|5
4768000|5.3895|0|5
4782000|4.5836|1|5
4783000|0.002|1|5
4784000|15.1412|1|5
4785000|3.0034|1|5
4786000|7.9248|1|5
4787000|14.4297|1|5
4788000|2.6167|1|5
4789000|60.9964|1|5
4790000|4.0882|1|5
4791000|5.9862|1|5
4776000|2.0219|0|5
4775000|4.8736|0|5
4774000|3.9999|0|5
4773000|25.1154|0|5
4772000|4.4399|0|5
4771000|1.7708|0|5
4770000|3.5935|0|5
4769000|5.8087|0|5
4768000|5.3895|0|5
4767000|0.02|0|5
4782000|4.5836|1|5
4783000|0.002|1|5
4784000|18.7312|1|5
4785000|3.0034|1|5
4786000|7.9248|1|5
4787000|15.6254|1|5
4788000|62.0836|1|5
4789000|5.7042|1|5
4790000|0.8705|1|5
4791000|5.9862|1|5
4777000|1.1954|0|5
4776000|5.4149|0|5
4775000|3.0894|0|5
4774000|7.5899|0|5
4773000|21.5254|0|5
4772000|9.8099|0|5
4771000|1.4378|0|5
4770000|0.0035|0|5
4769000|0.4387|0|5
4768000|5.3895|0|5
4782000|4.5836|1|5
4783000|0.002|1|5
4784000|18.7312|1|5
4785000|3.0034|1|5
4786000|4.3348|1|5
4787000|18.0197|1|5
4788000|63.279|1|5
4789000|5.7042|1|5
4790000|0.8705|1|5
4791000|5.9862|1|5
4776000|1.2375|0|5
4775000|1.7781|0|5
4774000|3.9999|0|5
4773000|21.5254|0|5
4772000|4.4399|0|5
4771000|5.0278|0|5
4770000|0.3371|0|5
4769000|0.4387|0|5
4768000|0.0195|0|5
4767000|3.61|0|5
4782000|4.1922|1|5
4783000|0.002|1|5
4784000|18.1412|1|5
4785000|3.0034|1|5
4786000|4.3348|1|5
4787000|22.8054|1|5
4788000|62.0836|1|5
4789000|0.3342|1|5
4790000|0.8705|1|5
4791000|5.9862|1|5
4776000|1.2375|0|5
4775000|1.7781|0|5
4774000|6.0893|0|5
4773000|21.0751|0|5
4772000|8.3629|0|5
4771000|1.4378|0|5
4770000|3.5935|0|5
4769000|0.4387|0|5
4768000|5.3895|0|5
4767000|0.02|0|5
4782000|4.1922|1|5
4783000|3.592|1|5
4784000|18.1412|1|5
4785000|6.5934|1|5
4786000|4.3348|1|5
4787000|20.9954|1|5
4788000|62.0836|1|5
4789000|0.3342|1|5
4790000|0.8705|1|5
4791000|5.9862|1|5
4776000|4.8275|0|5
4775000|1.7781|0|5
4774000|9.6793|0|5
4773000|21.0751|0|5
4772000|10.1429|0|5
4771000|6.8078|0|5
4770000|0.0035|0|5
4769000|0.4387|0|5
4768000|0.0195|0|5
4767000|0.02|0|5
4782000|4.1922|1|5
4783000|0.002|1|5
4784000|18.1412|1|5
4785000|6.5934|1|5
4786000|4.3348|1|5
4787000|19.7997|1|5
4788000|62.0836|1|5
4789000|0.3342|1|5
4790000|0.8705|1|5
4791000|5.9862|1|5
4777000|1.1956|0|5
4776000|1.8199|0|5
4775000|2.0894|0|5
4774000|11.1799|0|5
4773000|21.0751|0|5
4772000|10.5755|0|5
4771000|1.4378|0|5
4770000|0.0035|0|5
4769000|0.4387|0|5
4768000|5.3895|0|5
4782000|4.1922|1|5
4783000|0.002|1|5
4784000|21.7312|1|5
4785000|3.0034|1|5
